"FimA_del" "WT" "FimA_over"
"yahO" 117324.212534846 140635.704592753 2153.18303734176
"prpR" 330.331290513187 474.36944211067 10.0160225009017
"prpB" 16041.9907456677 29554.4509035994 10.5820002020566
"prpC" 5662.77491156175 9482.69986675881 8.53805582955922
"prpD" 3073.77103935431 7118.47872433929 5.96614096213588
"prpE" 1412.78389136487 3679.78584917975 9.66308194779556
"codB" 70.2092005638614 35.9603373624417 10.8575477088709
"codA" 53.5281523596768 23.3786852257142 18.4599670457344
"cynR" 69.455558101824 25.578215483838 16.4867802739276
"cynT" 80.5818402831677 46.1753292329972 19.2518484039588
"cynS" 69.9782232780993 25.8435538239039 16.1318407716759
"cynX" 63.3213574461077 30.7183439206002 12.5712241960559
"lacA" 69.5419598130876 40.1487082535353 10.5386226076027
"lacY" 55.1444186819801 31.5192619427603 4.85451777067403
"lacZ" 56.8477302683853 24.0880043150021 5.25961254071955
"lacI" 147.6795135121 109.813966686702 4290.9975125966
"mhpR" 399.79901027188 338.725808790601 19.9884376334743
"mhpA" 72.654451888918 31.2592705067562 5.44810956841589
"mhpB" 61.7011100090317 26.6285925652826 6.43866737928669
"mhpC" 79.1722698939618 31.1972851282074 7.91712943782846
"mhpD" 85.7952840003219 36.2341319356217 9.45549597651044
"mhpF" 53.7366990673412 21.8308763268655 7.15700580444246
"mhpE" 90.3773943623233 39.6132661254701 9.93479850853776
"mhpT" 69.04820822392 38.3976547789194 18.7206765442448
"yaiL" 226.440384310732 143.47690918152 77.2423482867655
"frmB" 81.0634832821611 44.6822477349346 33.4690118513988
"frmA" 150.951123814998 104.115952553859 36.229826407103
"frmR" 2168.51188379397 1449.2153579347 360.868665476272
"yaiO" 88.1966594830593 45.3076209369608 22.8113287812254
"yaiX" 11.2316094618934 5.78787118907145 1.89962023317435
"insC1" 0 0 0
"insD1" 0 0 0
"yaiP" 36.7085395881035 20.1902485518274 9.72365467951384
"yaiS" 32.2781241730351 11.6173613146333 4.87455949777004
"tauA" 91.3455314101531 41.7927222230306 11.2194801271644
"tauB" 95.6903035660138 35.7431894936164 11.8009361360475
"tauC" 63.8441172287888 34.2140835724735 15.2653403513093
"tauD" 66.4198718838974 28.824328478046 19.3872114603188
"hemB" 120.817848879302 77.904881243367 125.662399541492
"yaiT" 14.5240258021788 8.88807336199901 11.7521195780747
"insF2" 0 0 0
"insE2" 0 0 0
"iprA" 31.8220245018795 20.9025320926634 8.01210641870884
"ampH" 236.387817609367 193.130219221558 60.2610506076607
"sbmA" 82.7177946198098 58.030136594937 54.5239743957326
"yaiW" 97.29891207512 60.0767763867344 60.9250496803695
"yaiY" 584.460304432516 469.745111907209 197.137492165399
"ddlA" 109.46127608451 86.6333081883362 63.8109730862817
"phoA" 57.9918979756519 33.8271154109534 19.4972240736372
"psiF" 3862.62371521512 4246.26846185825 296.099634694125
"dgcC" 71.6932643529903 36.8408847895938 19.0838618941877
"proC" 118.365715889333 68.1632184927536 33.9428060695247
"yaiI" 119.831431376103 93.7102255803264 183.218938448039
"aroL" 128.303303018092 75.8250254478324 554.672273981852
"aroM" 262.69025729732 244.047051690317 206.603411003521
"ppnP" 2733.86707911201 2572.75000928745 1043.01366559304
"ykiA" 365.356365931464 369.813460454049 176.965224312467
"rdgC" 104.525911756247 55.8084376173568 31.1432721932597
"mak" 121.8378482495 97.6995482327404 28.8158863983651
"araJ" 86.4108321789609 51.8773011641887 35.7747845642779
"sbcC" 47.376188862729 23.5891798339846 11.0967122520832
"sbcD" 61.0230266969038 38.4513144703516 31.6863496177402
"phoB" 175.824268870982 104.252871235194 65.5317059313033
"phoR" 64.606618339638 35.9449220132476 31.5771717119222
"brnQ" 180.983062325584 152.879611153602 221.252283169747
"proY" 103.598372002233 81.3502246564059 88.9795117264803
"malZ" 57.2190701673644 27.9240468087749 33.7819383202304
"acpH" 112.347978815796 73.3861811905669 67.7752735586376
"queA" 80.9248758783099 34.0281547182742 68.6551378029621
"tgt" 69.4435657486129 52.2252033577486 74.5164870138284
"yajC" 1003.37926072258 901.915231744646 713.336100422219
"secD" 76.3103526023235 52.8262154605207 99.8405299438251
"secF" 121.020464152838 86.8188682517991 176.699547457043
"yajD" 362.75679041407 234.722839490743 122.862141102511
"tsx" 197.643465257336 187.301070184803 29.2701949228245
"yajI" 147.576664257684 81.6334138446577 28.2593957146703
"nrdR" 287.316586538956 203.689375720294 331.031430782296
"ribD" 140.897884064521 83.2555247583115 187.344787378291
"ribE" 283.023036369201 181.844642360924 323.877726262107
"nusB" 263.358304972782 173.327922971523 682.512205733839
"thiL" 72.4005771066457 37.2102713796999 89.0147022477952
"pgpA" 326.30226689715 308.461066633269 358.826738600584
"yajO" 1277.06451893786 1480.05485887841 229.259080115876
"dxs" 93.5075864716347 59.5791510158837 77.7030327508518
"ispA" 88.3979830386847 58.3984558335817 74.0861645220799
"thiI" 78.8793678317438 41.336475422202 114.092558092948
"yajL" 162.777964586685 133.801308262624 122.339836459846
"panE" 132.835012856898 111.011905721246 85.2342186341845
"yajQ" 579.284426393907 676.431528551411 234.244561056243
"yajR" 58.0016543270502 31.0226167604731 20.877410942216
"cyoE" 821.649853472495 1059.01586624497 126.984002424679
"cyoD" 3154.0975443901 3616.35470325889 321.245437760039
"cyoC" 721.241701048282 893.031158336594 87.3417390294691
"cyoB" 521.769061349597 599.746751413679 75.4291802861982
"cyoA" 1081.16950126817 1137.7314526143 86.0608282286686
"ampG" 71.201327273499 35.1525848174892 8.82869068240029
"yajG" 182.614542052673 100.116467435708 19.8982005837515
"bolA" 29576.1435292314 25020.2435671684 659.556020728784
"tig" 323.045773642533 285.87437866826 92.0078484857384
"clpP" 1205.33422995327 1646.41372911693 549.557662992346
"clpX" 1320.27642988017 1575.0425395401 579.282382362428
"lon" 455.989639588283 856.172232812958 399.819539106962
"hupB" 5895.30951865452 8749.3261323316 2555.06365640777
"ppiD" 137.751096929655 116.904290622816 95.0257397901438
"ybaV" 136.974354956141 129.274710340222 70.625206548424
"fadM" 311.93991174382 648.924861307405 76.0658513990375
"queC" 135.815002145365 93.0748880062489 85.0726275826135
"ybaE" 137.889402686617 95.3273552366399 16.2174288585383
"cof" 89.8840602239512 65.6506293127585 42.4689380425625
"decR" 202.284251130303 158.509849651829 76.8337483814361
"mdlA" 79.9498931553525 52.2588460653039 23.9725035963698
"mdlB" 65.346152078851 34.2879532359388 27.0088565723824
"glnK" 379.309793850357 152.647192710754 53.6905742623477
"amtB" 89.2009448133527 45.1816561084447 28.5886306142239
"tesB" 199.362958249717 170.841176612668 49.3045491755451
"ybaY" 511.568540402821 365.217220204251 437.536414044965
"ybaZ" 318.446327746545 225.347599572121 251.161858246863
"ybaA" 907.643162897046 796.902963950979 132.984613327973
"pdeB" 111.631527272725 89.1010478542494 47.310526172281
"ylaC" 813.82081886382 553.99181742514 661.405471638708
"maa" 137.759096095697 167.020728696893 230.998178152605
"tomB" 914.654640507104 1687.2892673603 1029.87264962848
"acrB" 142.358714918732 168.868845310831 79.8322055933114
"acrA" 143.798728695738 185.989303829029 76.0290722841981
"acrR" 146.44071371052 129.589880450012 69.773485647815
"mscK" 53.6462303355677 28.6379486425776 28.7649148847351
"priC" 109.323893028405 83.834437120039 87.9936956376154
"ybaN" 280.391924615826 180.104715197511 350.192806646322
"apt" 135.13867850692 65.0466123931108 120.697678212809
"dnaX" 96.6340684085184 93.3319397358946 131.575726202081
"ybaB" 952.506074350643 980.389153232205 1376.76616182874
"recR" 161.397190466033 152.824153444362 266.802612763799
"htpG" 316.563297831021 697.317041609717 221.482886668932
"adk" 176.815953875114 119.314155198071 196.794152887198
"hemH" 137.639695288088 106.024489934936 34.9895651423433
"aes" 100.942192439908 75.9162774817329 24.8258707183925
"gsk" 74.0806214636858 37.8031081797765 57.0965610092388
"ybaL" 137.06667218906 135.582401185244 97.9026683931508
"fsr" 78.1728608494906 35.7818333421078 9.3429828248442
"ushA" 121.324351184679 109.007916716589 45.9830231480538
"ybaK" 214.750834427026 148.218586391427 564.216873478035
"ybaP" 86.7735637910783 72.6622639341169 505.307652566203
"ybaQ" 1038.52212440592 1077.60213642239 710.912021806979
"copA" 85.6770827208403 53.2265333077836 77.416655527446
"glsA" 95.5823892916716 38.53246356283 24.0254161289677
"ybaT" 98.5127464688736 31.1856629458197 56.3280589560088
"cueR" 391.290335962982 231.907855196247 395.727691422119
"ybbJ" 720.637644651703 561.264436188551 251.515603675982
"qmcA" 461.261174522879 376.447664103389 86.6979655984611
"fetA" 52.5380514594643 32.6026070989968 15.892570077194
"fetB" 81.9264336695583 40.6084463857784 22.8076013158623
"cnoX" 347.311966777044 427.526409512376 199.409997149851
"ybbO" 117.372714917107 87.7152995867278 70.3100982868723
"tesA" 150.364135926342 106.346727517983 82.7287493814822
