Geneid	FimA_del	WT	FimA_over
evgS	1355	1348	997
yfdE	633	460	122
yfdV	399	297	45
oxc	679	525	61
frc	594	398	35
yfdX	305	228	29
ypdI	230	164	46
yfdY	392	477	282
lpxP	906	978	680
ypdK	60	29	22
alaC	1152	680	243
pyrS	1154	845	311
pyrR	783	606	239
ypdC	645	501	215
fryA	1486	740	175
ypdE	624	299	84
ypdF	492	211	41
fryC	756	342	45
fryB	185	97	12
glk	1439	1138	304
yfeO	1287	930	294
ypeC	275	172	183
mntH	1013	874	575
ypeD	56	55	5
nupC	899	764	142
insL3	1528	1311	509
pdeA	1265	708	300
alaX	59	29	5
alaW	29	22	7
yfeC	294	174	60
yfeD	418	280	100
gltX	2414	2329	1872
valU	40	23	14
valX	61	36	112
valY	12	15	3
lysV	87	36	8
xapR	909	551	120
xapB	598	350	137
xapA	414	248	30
yfeN	518	349	53
yfeR	578	313	211
yfeH	1071	598	242
ypeB	438	541	135
ligA	5019	5606	673
zipA	2382	2654	1149
cysZ	888	640	137
cysK	6944	13243	43999
ptsH	4506	4516	3209
ptsI	20031	21154	7330
crr	23280	20836	2783
pdxK	439	289	107
yfeK	126	227	35
yfeS	348	297	441
cysM	917	906	1862
cysA	1309	2201	6146
cysW	894	1302	2685
cysU	860	1066	1875
cysP	1273	2040	2905
ucpA	3169	3799	247
murR	695	348	37
murQ	659	316	65
murP	904	471	148
yfeW	648	343	122
yfeX	1246	1393	711
yfeY	575	578	145
yfeZ	474	389	53
ypeA	440	490	57
amiA	690	592	692
hemF	673	473	397
eutR	664	385	201
eutK	408	287	101
eutL	351	235	107
eutC	829	484	207
eutB	1125	818	791
intZ	1020	644	126
yffL	695	400	214
yffM	313	150	26
yffN	220	97	18
yffO	215	115	26
yffP	741	357	37
yffQ	341	219	33
yffR	468	289	105
yffS	955	628	69
eutA	711	400	137
eutH	1111	601	73
eutG	821	466	89
eutJ	637	286	51
eutE	860	473	116
eutN	209	107	10
eutM	254	181	15
eutD	824	411	67
eutT	399	251	69
eutQ	505	271	22
eutP	256	147	15
eutS	148	76	7
maeB	5589	6597	909
talA	5407	8259	2057
tktB	9049	14476	3509
ypfG	788	562	438
nudK	504	241	189
aegA	1328	652	138
narQ	1119	589	409
acrD	1874	966	363
ypfM	642	637	11
yffB	682	489	55
dapE	2001	1722	414
ypfN	1234	1217	361
ypfH	778	760	551
tmcA	1707	1089	855
ypfJ	1707	2080	914
purC	645	401	791
bamC	1424	1042	2277
dapA	1923	1397	2296
gcvR	892	800	469
bcp	750	399	295
hyfA	316	112	28
hyfB	1307	690	113
hyfC	584	284	19
hyfD	1074	535	99
hyfE	355	165	17
hyfF	827	425	159
hyfG	1111	535	149
hyfH	387	146	53
hyfI	485	228	66
hyfJ	315	160	23
hyfR	1357	640	147
focB	763	440	155
yfgO	1009	576	477
bepA	2137	3368	646
yfgD	574	749	196
hda	526	304	344
uraA	826	374	80
upp	402	234	75
purM	763	420	137
purN	621	343	104
ppk	2268	1447	1393
ppx	1555	1098	774
pdeF	1173	618	154
yfgG	346	219	94
yfgH	157	95	21
yfgI	318	182	53
guaA	2312	1367	959
guaB	1158	667	625
xseA	1920	1747	3324
yfgJ	272	249	358
der	3486	3470	2140
bamB	2659	2784	1938
yfgM	1412	1336	1081
hisS	2864	2830	1924
sroE	87	88	33
ispG	3497	3618	2297
rodZ	3967	4431	1617
rlmN	1835	2335	902
ndk	518	461	97
pbpC	1477	799	298
yfhM	5727	5609	2494
sseA	5377	6565	246
timR	121	108	1
ryfA	41	38	35
timP	0	0	0
sseB	669	737	1020
pepB	2214	3112	2299
iscX	730	727	1448
fdx	952	942	2302
hscA	5144	4637	10251
hscB	1403	1163	3233
iscA	6868	7115	5896
iscU	7581	7365	5696
iscS	19693	18686	12877
iscR	6949	5921	4651
trmJ	1871	1580	2528
suhB	549	307	278
yfhR	561	282	79
csiE	2823	3490	363
hcaT	1014	830	201
hcaR	876	883	93
iroK	0	0	0
hcaE	913	507	449
hcaF	289	147	140
hcaC	201	90	91
hcaB	576	301	170
hcaD	773	439	220
yphA	634	755	176
yphB	840	474	120
yphC	1078	562	68
yphD	700	380	50
yphE	1340	694	98
yphF	643	440	52
yphG	2260	1189	229
yphH	988	556	172
glyA	2497	2262	982
hmp	1030	500	431
glnB	531	397	153
glrR	1368	819	374
qseG	618	428	236
glrK	1123	764	392
glmY	209	121	30
purL	2590	1309	919
mltF	1205	613	179
tadA	455	244	168
pgpC	737	594	296
yfhH	534	294	249
yfhL	105	97	74
shoB	76	279	240
ohsC	60	65	21
acpS	247	133	123
pdxJ	1072	724	684
recO	872	738	572
era	2375	3045	1686
rnc	1682	2074	1045
lepB	3317	4135	1255
lepA	4733	5436	1960
rseC	2298	2311	773
rseB	7589	11390	2065
rseA	23312	36369	5020
rpoE	15301	21971	4786
rseD	252	156	35
nadB	1304	625	629
yfiC	737	418	145
srmB	1369	1028	698
yfiE	1024	737	871
eamB	522	325	97
grcA	590	681	2800
ung	612	361	200
yfiF	1261	916	407
trxC	773	784	301
tapT	432	248	144
patZ	11634	18272	575
pssL	115	140	15
pssA	4485	6141	2915
yfiM	370	479	1617
kgtP	8935	15083	14702
yfiS	90	115	33
rrfG	160	82	5
rrlG	3555	2725	1371
gltW	81	97	1909
rrsG	1550	1169	513
clpB	17429	33562	53034
ryfD	84	61	28
yfiH	971	1003	371
rluD	1821	2032	522
bamD	1667	1718	668
raiA	32838	22900	389
raiZ	31	68	6
pheL	26	29	6
pheA	1437	1819	471
tyrA	1139	1141	758
aroF	1299	1815	1037
yfiL	542	568	107
yfiR	366	247	319
dgcN	858	484	276
yfiB	331	193	144
rplS	1423	1887	2367
trmD	2998	3614	4168
rimM	2460	3038	3372
rpsP	1286	1540	1605
ffh	4558	3715	2570
ypjD	570	420	295
yfjD	1084	693	484
grpE	2923	4366	2681
nadK	877	594	364
recN	1399	1311	2125
bamE	1296	1114	640
yfjF	123	54	108
ratA	365	254	235
smpB	573	474	321
ssrA	1134316	1488443	2284322
intA	1408	1169	491
yfjH	317	232	54
alpA	17	15	4
yfjI	457	257	43
yfjJ	181	162	35
abpB	1337	728	215
abpA	988	618	447
yfjM	243	161	80
rnlA	1448	1783	1072
rnlB	875	1163	573
yfjP	764	428	52
yfjQ	637	340	43
yfjR	320	181	65
ypjK	176	82	18
yfjS	372	179	27
yfjT	410	312	115
yfjU	221	172	106
yfjV	485	264	103
yfjW	335	212	91
ypjI	258	161	11
yfjX	384	214	33
yfjY	261	147	24
ypjJ	69	50	10
yfjZ	269	129	24
ypjF	147	92	22
psaA	84	68	10
ypjA	3646	2239	767
pinH	245	134	16
ypjB	135	110	11
ypjC	61	51	6
ileY	44	30	2
ygaQ	455	366	48
glaH	27124	91853	181
lhgD	11098	43475	351
gabD	11482	53284	548
gabT	8658	45504	494
gabP	1496	5076	139
glaR	658	1387	349
kbp	3447	4095	1317
yqaE	361	352	63
ygaV	326	234	26
ygaP	827	576	127
stpA	578	403	100
alaE	177	134	1605
ygaC	326	235	290
ygaM	5118	6515	3136
nrdH	138	99	246
nrdI	182	149	289
nrdE	1267	856	906
nrdF	720	406	193
proV	800	673	222
proW	916	652	252
proX	683	406	157
ygaY	696	367	153
ygaZ	606	307	549
ygaH	169	128	114
mprA	307	160	588
emrA	768	409	315
emrB	1050	567	361
luxS	1845	1572	1165
micA	238	95	75
gshA	2894	2601	1575
yqaA	414	284	181
yqaB	525	383	168
argQ	95	74	123
argZ	60	31	152
argY	79	64	103
argV	68	55	90
serV	61	61	23
csrA	16521	16293	2351
alaS	2969	2118	2517
recX	420	413	185
recA	5041	5615	4523
pncC	379	221	126
mltB	909	466	157
srlA	522	414	21
srlE	1293	916	61
srlB	197	196	7
srlD	756	612	41
gutM	259	133	40
srlR	650	475	100
gutQ	939	590	168
norR	1109	583	242
norV	1153	622	175
norW	704	319	115
hypF	2040	1148	304
hydN	302	177	50
ascG	1140	604	138
ascF	1104	709	199
ascB	1610	905	241
hycI	806	617	172
hycH	266	127	31
hycG	434	212	53
hycF	565	255	24
hycE	1096	534	101
hycD	694	374	62
hycC	1065	531	101
hycB	411	191	35
hycA	211	124	15
hypA	224	123	12
hypB	628	362	84
hypC	125	91	21
hypD	781	457	161
hypE	726	467	232
fhlA	1696	1367	349
ygbA	360	206	104
mutS	1628	991	308
pphB	265	125	28
ygbI	609	351	129
ygbJ	482	264	42
ygbK	900	473	118
ygbL	358	173	45
ygbM	424	226	71
ygbN	1055	631	157
rpoS	19765	17314	5360
nlpD	7036	7263	2592
pcm	932	810	489
umpG	1008	959	386
truD	1118	876	560
ispF	222	171	146
ispD	817	463	245
ftsB	461	362	253
ygbE	285	224	419
cysC	469	476	986
cysN	1560	2850	4934
cysD	1044	2186	2974
iap	778	460	878
cas2	351	195	61
cas1	646	361	125
casE	316	200	76
casD	466	286	86
casC	511	346	94
casB	242	145	25
casA	537	351	95
cas3	1626	987	151
sokX	39	17	9
cysH	1104	2474	3121
cysI	2839	7060	10828
cysJ	2785	7052	9782
queD	317	171	52
ygcN	1026	528	60
ygcO	102	62	24
ygcP	289	152	29
ygcQ	721	412	57
ygcR	694	389	37
ygcS	875	480	27
ygcU	961	510	41
ygcW	342	188	16
yqcE	812	477	45
ygcE	812	429	53
queE	588	662	324
yqcG	7	1	1
ygcG	208	103	20
eno	22260	26740	6973
pyrG	8784	10442	3346
mazG	1236	931	954
mazF	415	278	330
mazE	216	174	233
relA	1893	1347	749
rlmD	1103	755	309
barA	2180	1089	260
gudD	1236	706	130
gudX	729	368	67
gudP	1190	561	93
yqcA	812	514	209
truC	555	235	69
yqcC	126	72	15
csrB	1107	4916	3477
syd	430	312	160
queF	520	386	170
ppnN	3057	2770	984
sdaC	599	337	148
sdaB	741	404	137
ygdG	505	275	55
fucO	1182	934	131
fucA	420	317	26
fucP	949	535	68
fucI	1636	1232	167
fucK	1148	787	80
fucU	352	214	39
fucR	652	418	74
rlmM	1201	890	626
ygdD	246	200	135
gcvA	765	479	305
gcvB	118	117	49
ygdI	224	250	240
csdA	1123	681	741
csdE	543	416	304
tcdA	685	405	203
mltA	779	497	276
metZ	126	82	35
metW	63	65	371
metV	117	60	12
amiC	956	621	324
argA	832	904	5615
recD	1302	743	1187
recB	2319	1327	586
ptrA	1722	988	426
recC	2721	1820	535
ppdC	312	234	29
ygdB	174	119	34
ppdB	543	356	34
ppdA	309	192	22
thyA	727	496	279
lgt	790	551	196
ptsP	1748	1149	614
rppH	591	437	412
ygdT	174	116	32
mutH	652	397	239
ygdQ	589	393	485
ygdR	442	378	175
tas	1091	1040	613
lplT	1027	620	218
aas	1342	887	270
omrA	73	35	31
omrB	245	101	11
galR	898	700	212
lysA	850	491	92
lysR	568	276	107
ygeA	615	333	84
araE	850	444	398
kduD	575	371	104
kduI	647	381	102
yqeF	1128	794	93
yqeG	515	371	71
yqeH	141	120	10
yqeI	166	118	20
yqeJ	45	16	4
yqeL	10	5	0
yqeK	44	49	4
ygeF	30	35	4
ygeG	37	28	2
ygeH	116	96	20
ygeI	47	45	3
pbl	29	26	7
ygeK	77	34	5
ygeL	12	9	1
ygeN	35	25	9
ygeO	78	35	9
insD4	968	656	378
insC4	513	431	159
ygeP	258	243	87
ygeQ	831	523	112
glyU	45	24	3
actS	1136	793	280
xdhA	3684	2075	278
xdhB	951	575	94
xdhC	733	398	70
ygeV	8209	7265	360
ygeW	1322	989	79
ygeX	1480	814	170
ygeY	1818	945	115
hyuA	1722	737	151
yqeA	1347	793	189
yqeB	6411	6794	159
yqeC	3525	4175	47
mocA	10528	9243	138
ygfK	4929	4217	468
ssnA	1523	839	109
ygfM	796	491	63
xdhD	3700	2314	488
xanQ	1566	826	175
guaD	1816	925	223
ghxQ	2134	1117	247
ygfS	634	351	62
ygfT	2719	1377	223
uacT	2344	1206	117
yqfG	54	24	4
yqfH	55	28	2
idi	1329	1353	346
lysS	3126	2437	5093
prfB	2963	2547	3443
recJ	3868	2743	2117
dsbC	1841	1757	1037
xerD	1944	1430	861
fldB	947	590	747
ygfX	628	363	523
sdhE	638	497	534
ygfZ	4303	4083	1877
yqfA	3834	5210	2280
yqfB	366	284	191
bglA	2332	1451	712
ygfF	1264	648	169
gcvP	3635	2100	675
gcvH	555	345	100
gcvT	1894	1135	335
yqfI	58	51	16
ubiI	2071	1219	2301
ubiH	2207	1674	4479
pepP	5175	4550	6016
ygfB	2188	1713	2422
zapA	8532	7631	4722
ssrS	22753	27417	29438
fau	869	555	2446
sibC	300	363	532
ibsC	0	0	0
serA	2643	1718	5956
rpiA	1344	853	1051
yqfE	286	142	24
argP	1323	806	495
scpA	2327	1086	381
argK	1358	648	105
scpB	496	283	63
scpC	1615	709	242
ygfI	1271	999	324
yggE	6989	4048	1435
argO	591	306	214
mscS	2961	2174	1752
fbaA	48069	39828	9872
pgk	14716	16426	3914
epd	3263	2761	1501
yggC	1194	748	804
fumE	860	495	612
yggF	1329	747	78
yggP	1623	892	84
cmtA	1748	924	108
cmtB	367	190	15
tktA	3489	2098	1663
loiP	9654	9870	432
speB	3511	4601	367
speA	7944	7967	3337
yqgB	74	37	64
yqgG	70	47	17
yqgC	132	82	15
yqgD	142	58	19
metK	1264	850	18115
galP	2275	1218	321
yggI	847	412	127
endA	1026	518	146
rsmE	1135	776	961
gshB	2136	1723	1985
yqgE	1502	1108	1224
yqgF	551	384	695
yggR	1668	763	143
yggS	889	490	283
yggT	1124	591	298
yggU	539	283	161
rdgB	1177	641	390
hemW	1619	855	549
yggM	1045	425	100
ansB	1057	1168	251
yggN	2020	3867	356
yggL	1343	1381	745
trmB	1656	1371	676
mutY	2002	1137	392
yggX	792	501	124
mltC	1523	872	356
nupG	3225	2534	205
speC	3074	1637	276
yqgH	358	177	28
yqgA	935	570	251
pheV	168	68	16
yghD	750	366	71
yghE	1109	714	650
yqhJ	0	0	0
yghF	1227	458	85
yghG	271	178	21
pppA	696	331	86
yghJ	5390	2754	826
glcA	4904	5452	254
glcB	5705	5206	771
glcG	1019	914	130
glcF	2560	2193	339
glcE	1799	1621	208
glcD	3502	3390	368
glcC	3918	3358	238
yghO	1476	923	122
insH9	2161	1669	594
yghQ	1572	764	154
yghR	1253	570	60
yghS	984	446	46
yghT	730	388	50
pitB	1999	978	133
gss	3629	2276	6987
yghU	2511	2319	615
hybG	446	278	186
hybF	260	130	121
hybE	487	260	282
hybD	886	551	404
hybC	1652	948	513
hybB	1782	968	188
hybA	1272	769	268
hybO	1329	1007	363
yghW	405	295	99
yghX	3622	3529	315
yqhI	38	14	1
gpr	13961	15895	276
yqhA	956	820	279
yghA	3845	3198	836
exbD	642	380	4043
exbB	1010	679	7098
metC	1167	650	1611
yghB	4058	4139	1691
yqhC	1124	670	356
yqhD	1812	1005	896
dkgA	8470	11476	957
yqhG	846	482	101
yqhH	505	232	58
ygiQ	3601	1925	1215
ftsP	3410	3155	1581
plsC	1027	810	729
parC	4582	2775	1337
ygiS	1865	1007	633
mqsA	2809	2245	1178
mqsR	2511	2188	1884
ygiV	635	408	536
ygiW	6982	11488	1934
qseB	778	350	90
qseC	1399	675	210
ygiZ	142	80	10
mdaB	1011	646	321
ygiN	2879	3474	1382
parE	3048	1897	3339
yqiA	1444	1146	1332
cpdA	4849	5521	2077
yqiB	803	551	434
nudF	1539	1172	606
tolC	7205	13752	2559
ygiB	12818	15735	1766
ygiC	5317	5549	1672
ygiD	1135	541	283
zupT	2738	2136	594
yqiD	321	406	138
ribB	12633	8227	1407
ubiK	1025	877	314
ygiL	387	243	31
yqiG	1498	953	195
insC5	0	0	0
insD5	0	0	0
yqiH	307	323	35
yqiI	768	605	108
glgS	4914	5490	748
yqiJ	448	276	83
yqiK	1911	900	270
sibD	176	227	99
ibsD	0	0	0
sibE	586	1062	218
ibsE	0	0	0
hldE	2772	1665	666
glnE	4637	2853	1349
ygiF	2059	1175	625
ygiM	1530	2808	342
cca	3519	5557	1825
bacA	1560	929	423
folB	457	205	67
plsY	1259	753	302
ttdR	1112	451	138
ttdA	1120	567	66
ttdB	1003	475	48
ttdT	2225	1092	261
tsaD	2550	1733	872
rpsU	1645	1477	8249
dnaG	5413	6542	4279
rpoD	44261	68128	18855
mug	1205	863	587
ileX	43	35	40
nfeF	902	445	660
nfeR	1657	998	1506
aer	2686	1557	364
patA	21195	14531	1602
ygjH	655	389	80
ebgR	1287	620	169
ebgA	3928	1756	264
ebgC	289	159	34
ygjI	1423	733	81
ygjJ	1279	654	74
ygjK	3388	1565	264
fadH	14973	25705	202
higA	1132	1337	139
higB	224	139	82
rlmG	1972	949	313
ygjP	883	435	172
ygjQ	720	311	59
ygjR	7957	8121	407
alx	1956	1673	805
sstT	4335	4637	1557
ygjV	571	295	202
uxaA	2107	1118	265
uxaC	2124	1080	203
exuT	2245	1241	428
exuR	3077	2456	3395
yqiM	154	81	317
yqjA	1281	874	1282
mzrA	856	490	626
yqjC	8659	6462	3164
yqjD	9018	6964	3284
yqjE	8553	6438	3156
yqjK	6216	5276	2649
yqjF	722	382	515
yqjG	13433	15014	793
yhaH	1678	2456	604
yhaI	731	520	35
yhaJ	1501	810	165
yhaK	944	510	106
yhaL	904	896	78
cyuA	2435	1156	285
cyuP	2163	1009	240
tdcG	2126	1194	202
tdcF	446	236	53
tdcE	2706	1327	232
tdcD	1058	549	51
tdcC	5	2	1
tdcB	1274	825	64
tdcA	707	512	31
tdcR	125	91	8
yhaB	249	161	24
yhaC	185	143	18
rnpB	359661	388474	1171920
garK	1834	1207	198
garR	1522	1252	108
garL	1056	527	63
garP	2124	1104	90
garD	3264	2189	253
prlF	789	562	594
yhaV	1834	1253	1365
agaR	962	573	988
kbaZ	1327	673	139
agaV	575	318	35
agaW	507	301	34
agaA	1479	830	92
agaS	1697	815	263
kbaY	786	467	78
agaB	215	127	31
agaC	542	271	34
agaD	856	395	73
agaI	724	353	64
yraH	478	251	67
yraI	683	373	54
yraJ	2745	1786	1343
yraK	1363	835	307
rsmI	1667	940	376
lpoA	2902	2369	2522
yraN	403	258	342
diaA	1203	900	677
dolP	1166	831	583
yraQ	1729	1031	618
yraR	1548	1555	172
yhbO	1370	1084	505
yhbP	971	513	228
yhbQ	403	213	179
yhbS	1104	830	382
ubiT	1239	933	451
ubiU	814	364	95
ubiV	1225	624	143
yhbW	1423	941	254
mtr	1864	1069	1030
deaD	4299	8180	23788
yrbN	130	236	758
nlpI	4728	6123	21777
pnp	6452	8662	6641
sraG	87	28	35
rpsO	1794	2349	3319
truB	1630	1726	2865
rbfA	1691	2010	2227
infB	17113	21038	18729
nusA	7578	8630	7413
rimP	1596	1679	2715
metY	243	135	1338
argG	2190	3423	12885
yhbX	1194	702	259
leuU	214	96	16
secG	1360	922	1167
glmM	3386	4020	1420
folP	1379	1558	431
ftsH	26426	39632	15906
rlmE	9445	14989	4291
yhbY	1487	2064	1651
greA	3235	4774	841
dacB	2220	1328	424
obgE	5390	7320	2543
yhbE	2600	3595	1021
rpmA	2269	3336	2223
rplU	2598	3801	2776
ispB	3337	2801	1128
sfsB	537	394	297
murA	2334	1888	1374
ibaG	479	507	345
mlaB	1427	1432	273
mlaC	3984	4679	710
mlaD	1605	1613	371
mlaE	1973	1672	309
mlaF	1973	1452	275
yrbG	1625	970	519
kdsD	1976	1704	1008
kdsC	3629	3306	1078
lptC	3087	2996	957
lptA	3765	3954	1375
lptB	3711	3635	1531
rpoN	8195	8138	3496
hpf	2470	2756	1173
ptsN	2326	2593	1664
rapZ	2615	2463	2982
npr	626	441	732
yrbL	1538	1912	2019
mtgA	1109	693	631
elbB	1290	925	522
arcZ	99	70	89
arcB	5208	3401	1607
yhcC	1261	586	103
gltB	5974	5883	56590
gltD	2190	2206	21077
gltF	352	224	62
yhcA	411	228	35
yhcD	1868	892	330
yhcE	886	414	156
insH10	0	0	0
yhcF	827	481	290
yhcG	1321	637	276
nanQ	1054	796	148
nanK	1259	1026	273
nanE	1086	887	167
nanT	2615	1713	236
nanA	1292	679	100
nanR	1177	702	541
dcuD	1879	1072	330
sspB	1725	1150	2306
sspA	3573	2746	4231
rpsI	2503	2057	3276
rplM	2640	2061	4332
zapE	2069	991	441
zapG	4715	4596	1598
degQ	2901	2327	769
degS	1153	623	388
mdh	21591	19088	3914
argR	1230	1647	1363
yhcN	401	381	661
yhcO	870	807	327
aaeB	2450	1112	446
aaeA	969	484	285
aaeX	350	259	190
aaeR	1699	1048	1031
tldD	6610	6070	1786
yhdP	6485	3849	1822
rng	2525	1968	1390
yhdE	696	590	778
mreD	658	523	374
mreC	1806	1104	981
mreB	2356	2642	2163
csrD	2496	2025	2007
yhdH	2343	2231	310
yrdF	309	222	25
yrdE	472	265	62
accB	958	764	782
accC	2089	1457	1854
yhdT	162	93	22
panF	1612	949	300
prmA	1729	1492	580
dusB	1383	1313	1137
fis	552	755	407
yhdJ	1106	486	55
yhdU	73	29	7
envR	459	265	29
acrE	1296	657	96
acrF	4730	2359	544
yhdV	516	274	519
yhdW	12084	19197	311
yhdX	2411	1797	129
yhdY	1604	1139	77
yhdZ	1502	965	108
rrfF	149	111	9
thrV	22	37	2
rrfD	115	62	5
rrlD	3385	2627	1310
alaU	25	13	300
ileU	65	29	12
rrsD	1708	1291	620
yrdA	1464	1080	534
yrdB	619	490	533
aroE	2471	1900	1738
tsaC	2447	2298	1607
yrdD	3537	3980	1626
smg	5569	7127	1506
smf	1722	1247	177
def	13762	13291	2166
fmt	8807	10814	3129
rsmB	3513	3912	3153
trkA	3429	2793	1851
mscL	5333	6457	646
arfA	172	97	183
zntR	500	510	1272
yhdN	494	465	903
rplQ	2936	2875	11632
rpoA	9393	10711	45791
rpsD	5922	7414	28543
rpsK	3646	5685	17061
rpsM	4457	6038	17771
rpmJ	1382	2126	9125
secY	15404	22985	43990
rplO	7127	9991	13673
rpmD	1652	2304	3746
rpsE	6149	8089	11225
rplR	3663	4510	7184
rplF	6722	8830	13079
rpsH	4816	5490	11215
rpsN	7510	8890	13747
rplE	9690	12647	20445
rplX	5904	7522	13599
rplN	7443	9656	16080
rpsQ	1025	2007	2712
rpmC	2743	3817	4761
rplP	3618	5844	7780
rpsC	5475	9561	13449
rplV	2409	4260	6087
rpsS	1481	2371	3727
rplB	4437	7323	10314
rplW	1731	2670	4182
rplD	2719	4502	6676
rplC	3368	5375	8452
rpsJ	2458	3967	6951
gspB	669	426	126
gspA	1797	997	149
gspC	570	477	418
gspD	2945	1667	1214
gspE	1622	862	534
gspF	1591	735	320
gspG	495	275	89
gspH	908	430	93
gspI	295	129	65
gspJ	841	373	124
gspK	1143	508	338
gspL	1228	588	388
gspM	904	564	129
gspO	1504	1257	516
bfr	8315	12166	1128
bfd	245	187	660
chiA	3563	2096	659
tufA	40122	68757	40218
fusA	53088	83492	49332
rpsG	12241	15973	12717
rpsL	9688	13145	10198
tusB	557	721	673
tusC	692	404	467
tusD	651	413	709
yheO	1468	1181	1405
fkpA	3901	7052	2272
slyX	877	734	156
slyD	4510	4588	2001
yheV	583	403	276
kefB	3341	2063	782
kefG	1195	682	380
yheS	3929	2323	980
yheT	1441	1103	363
yheU	498	399	104
prkB	2703	2002	815
yhfA	1206	956	408
crp	8748	8854	3725
yhfK	3071	1798	2451
argD	1815	1471	4104
yrfJ	6	2	0
pabA	973	864	214
fic	4026	5062	477
yhfG	1551	1649	76
ppiA	1837	1279	183
tsgA	2140	1072	534
nirB	3051	1425	358
nirD	212	111	26
nirC	736	369	49
cysG	2328	1314	349
yhfL	242	176	34
frlA	1748	809	97
frlB	1258	606	148
frlC	1192	508	64
frlD	1243	694	222
frlR	1436	694	342
yhfS	1722	888	222
yhfT	2191	990	253
yhfU	367	166	36
php	1031	487	90
yhfW	1789	961	93
yhfX	1449	748	57
yhfY	566	454	57
yhfZ	1798	1413	96
trpS	1844	1334	1903
gph	1237	929	902
rpe	1205	863	707
dam	933	733	891
damX	3334	4064	3940
aroB	3204	3469	2914
aroK	1436	1483	1689
hofQ	2185	1010	167
hofP	553	246	25
hofO	496	204	40
hofN	778	338	76
hofM	1203	603	177
mrcA	3712	1795	485
nudE	1015	582	485
igaA	4785	3453	985
yrfG	1873	2390	1364
hslR	1996	2660	867
hslO	4084	5970	1998
yhgE	2016	1168	347
pck	10342	11468	578
envZ	3539	3197	886
ompR	6008	7456	1313
greB	1477	1215	311
yhgF	3123	1565	748
feoA	274	246	1427
feoB	3284	2045	9050
feoC	271	126	687
rpnA	1081	605	199
bioH	1380	745	296
yhgH	1132	797	739
nfuA	4254	4506	6461
gntT	2136	1764	311
malQ	3363	2328	655
malP	3474	2335	466
malT	35995	81294	1210
rtcA	2431	1539	593
rtcB	2857	1796	292
rtcR	2213	1037	357
glpR	1103	599	525
glpG	1395	763	574
glpE	465	230	318
glpD	4501	3625	1871
yzgL	534	323	466
glgP	9130	18584	12880
glgA	5663	15534	9946
glgC	4732	13461	9383
glgX	7162	25760	17639
glgB	9892	34094	59090
yhgO	98	591	1465
yhgP	15	73	187
asd	8449	48046	71982
yhgN	734	411	145
gntU	2265	1303	229
gntK	636	530	103
gntR	2720	2560	1485
yhhW	1704	1722	886
yhhX	2628	2100	835
ryhB	124	57	7
yhhY	346	237	61
yhhZ	212	142	12
yrhA	261	166	13
insA6	0	0	0
insB6	0	0	0
yrhD	43	39	9
yrhB	422	415	89
ggt	4294	3479	282
yhhA	12118	13511	1513
ugpQ	1962	1989	814
ugpC	2880	2712	427
ugpE	1337	1098	80
ugpA	1996	1434	102
ugpB	10458	10080	433
livF	1721	1138	784
livG	1146	1064	708
livM	2953	2401	1168
livH	1437	1414	783
livK	2204	2784	1498
panZ	742	397	151
livJ	3706	3803	163
rpoH	9357	11491	13829
ftsX	2277	1897	1304
ftsE	1711	1462	961
ftsY	3056	1999	1373
rsmD	719	370	268
yhhL	393	224	105
yhhM	720	378	166
yhhN	1662	1145	428
zntA	3610	2176	497
tusA	765	403	627
yhhQ	1096	598	580
dcrB	2136	1644	1369
yhhS	1938	998	862
yhhT	1588	1407	461
acpT	1251	852	680
nikA	2376	1086	241
nikB	1256	631	173
nikC	1260	589	191
nikD	1138	613	753
nikE	1046	481	189
nikR	555	294	196
rhsB	4862	2739	610
yhhH	32	13	6
yrhC	74	42	11
yhhI	341	169	34
yhhJ	499	251	78
rbbA	1813	989	346
yhiI	1195	691	290
yhiY	184	138	86
yhiJ	330	186	49
yhiL	144	132	33
yhiM	389	266	46
yhiN	619	309	167
pitA	1481	1417	569
uspB	2700	2811	906
uspA	1989	1848	1023
yriA	3	1	0
yriB	0	0	0
dtpB	1377	1701	483
rsmJ	782	1035	382
prlC	5633	7957	1788
rlmJ	880	861	454
gor	2461	2123	1011
dinQ	237	336	644
agrA	81	41	25
agrB	54	24	3
arsR	89	50	59
arsB	706	342	77
arsC	321	215	44
yhiS	149	98	27
insH11	0	0	0
slp	960	184	360
dctR	160	82	53
yhiD	228	121	70
hdeB	427	171	112
hdeA	869	350	553
hdeD	344	171	67
arrS	462	97	101
gadE	1739	266	77
gadF	89	42	15
mdtE	471	219	88
mdtF	1629	750	421
gadW	2376	1211	331
gadY	647	337	55
gadX	3852	1990	710
gadA	1269	508	520
ccp	596	316	95
treF	1104	1025	1201
yhjB	395	229	135
rcdB	480	293	92
yhjD	2515	2332	427
yhjE	759	774	1085
yhjG	2723	2470	422
pdeH	402	155	30
kdgK	568	353	225
yhjJ	848	1037	490
dctA	2707	4172	210
pdeK	1345	1030	354
bcsC	1574	1137	707
bcsZ	502	219	52
bcsB	927	436	135
bcsA	1200	520	189
bcsQ	282	221	81
yhjR	394	574	77
bcsE	1943	2261	915
bcsF	84	58	37
bcsG	1152	959	267
ldrD	118	159	104
rdlD	105	96	66
yhjV	594	287	111
dppF	570	380	135
dppD	536	364	115
dppC	408	333	116
dppB	537	396	104
dppA	4293	6226	826
proK	47	29	1
