Geneid	FimA_del	WT	FimA_over
allE	443	325	94
allC	708	481	110
allD	507	282	21
fdrA	768	373	47
ylbE	659	375	40
ylbF	493	212	39
ybcF	601	290	43
purK	606	277	297
purE	196	92	190
lpxH	544	312	212
ppiB	4380	2665	922
cysS	861	666	273
ybcI	218	123	41
ybcJ	246	142	79
folD	587	374	456
sfmA	297	1981	38
sfmC	197	177	25
sfmD	1010	546	118
sfmH	300	168	27
sfmF	133	59	11
fimZ	123	70	12
argU	52	18	10
intD	706	503	438
xisD	47	31	5
exoD	962	957	995
peaD	258	186	166
renD	426	312	144
insE3	0	0	0
insF3	0	0	0
emrE	85	51	93
ylcJ	9	6	0
ybcK	161	112	12
ybcL	172	156	24
ybcM	827	737	113
ylcH	10	9	1
ybcN	110	49	10
ninE	36	25	0
ybcO	113	62	5
rusA	150	90	6
ylcG	58	40	5
quuD	121	77	17
nmpC	632	368	142
insH2	0	0	0
essD	98	108	48
rrrD	207	151	61
rzpD	463	362	109
rzoD	0	0	0
borD	1042	884	315
ybcV	647	668	338
ybcW	627	508	289
ylcI	860	737	160
nohD	2802	1926	307
aaaD	411	351	62
tfaD	542	339	49
ybcY	206	127	46
tfaX	42	24	9
appY	68	68	48
ompT	367	267	138
envY	285	148	45
ybcH	437	272	70
nfrA	1485	877	458
nfrB	1162	710	268
cusS	775	431	178
cusR	431	298	57
cusC	575	243	64
cusF	96	37	9
cusB	439	229	54
cusA	1861	890	192
pheP	1017	501	219
ybdG	856	452	403
nfsB	544	378	359
ybdF	300	195	110
ybdJ	242	242	90
ybdK	3360	5123	789
sokE	105	59	30
hokE	59	33	12
insL2	1436	1218	531
entD	280	163	146
fepA	1304	736	966
fes	680	332	587
ybdZ	109	47	111
entF	1953	1005	1899
fepE	442	259	30
fepC	414	213	139
fepG	439	257	356
fepD	699	354	620
entS	735	401	308
fepB	712	392	635
entC	712	364	665
entE	1079	547	942
entB	744	441	547
entA	503	303	403
entH	348	180	231
cstA	23265	44613	546
ybdD	1588	2630	168
hcxA	1448	1717	1171
ybdL	715	433	1224
ybdM	347	215	155
ybdN	573	294	51
ybdO	217	145	29
dsbG	798	629	127
ahpC	5290	5154	30141
ahpF	1620	1528	9536
uspG	3555	3268	736
ybdR	1191	907	215
yldA	254	195	44
rnk	1376	1414	76
rna	887	671	304
citT	914	499	81
citG	556	347	36
citX	539	301	72
citF	1045	535	42
citE	652	327	46
citD	230	113	9
citC	893	458	54
dpiB	1368	852	237
dpiA	464	232	119
dcuC	1137	645	130
pagP	414	289	58
cspE	23765	25059	2063
crcB	345	287	327
ybeM	1102	981	261
tatE	657	593	479
lipA	1324	1224	886
ybeF	454	318	99
lipB	511	344	545
ybeD	2513	4216	1597
dacA	730	531	288
rlpA	1460	1041	644
mrdB	1252	807	219
mrdA	1686	1011	303
rlmH	650	443	151
rsfS	489	392	177
cobC	719	424	99
nadD	750	493	146
holA	874	598	281
lptE	1002	1071	771
leuS	7157	7577	4267
ybeL	6911	8385	228
ybeQ	971	955	69
ybeR	319	188	20
